Station Name,Province,Latitude,Longitude
BARRIE-ORO,ONTARIO,44.48,-79.55
BARRIER LAKE,ALBERTA,51.05,-115.08
BARRIERE,BRITISH COLUMBIA,51.18,-120.12
BARRIERE CLERMONT,QUEBEC,47.7,-70.22
BARRIERE ETIENNICHE,QUEBEC,49.45,-71.38
BARRIERE JALBERT,QUEBEC,48.45,-70.7
BARRIERE LOUVICOURT,QUEBEC,47.87,-77.33
BARRIERE MILOT,QUEBEC,48.9,-71.77
BARRIERE MISTIGOUGECHE,QUEBEC,48.2,-68.07
BARRIERE MITIS,QUEBEC,48.37,-67.93
BARRIERE N CHIBOUGAMAU,QUEBEC,49.5,-74.17
BARRIERE NORTH,BRITISH COLUMBIA,51.23,-120.15
BARRIERE QUINN,QUEBEC,46.72,-76.07
BARRIERE ST GUILLAUME,QUEBEC,46.6,-74.17
BARRIERE STONEHAM,QUEBEC,47.17,-71.25
BARRIERE SUD LA DORE,QUEBEC,48.82,-72.73
BARRIERE TOURILLI,QUEBEC,47.17,-71.62
BARRY'S BAY,ONTARIO,45.43,-77.67
BARVILLE,QUEBEC,48.42,-77.47
BARWICK,ONTARIO,48.63,-93.97
BAS CARAQUET,NEW BRUNSWICK,47.8,-64.87
BAS CARAQUET,NEW BRUNSWICK,47.8,-64.83
BASELINE LO,ALBERTA,52.13,-115.42
BASHAW,ALBERTA,52.68,-112.87
BASHAW,ALBERTA,52.6,-112.98
BASNETT,ALBERTA,57.37,-119.82
BASSANO AGCM,ALBERTA,50.89,-112.47
BASSANO DAM,ALBERTA,50.78,-112.47
BASSANO GEM,ALBERTA,50.9,-112.2
BASSET LO,ALBERTA,58.2,-118.22
BASSWOOD,MANITOBA,50.25,-100.03
BATHURST,NEW BRUNSWICK,47.62,-65.65
BATHURST,NEW BRUNSWICK,47.62,-65.65
BATHURST A,NEW BRUNSWICK,47.63,-65.74
BATHURST A,NEW BRUNSWICK,47.63,-65.74
BATHURST A,NEW BRUNSWICK,47.63,-65.75
BATHURST INLET,NUNAVUT,66.84,-108.01
BATHURST INLET,NUNAVUT,66.83,-108.02
BATHURST ISLAND,NUNAVUT,75.72,-98.42
BATTLE CREEK LO,ALBERTA,49.65,-109.98
BATTLE HARBOUR,NEWFOUNDLAND,52.28,-55.58
BATTLE HARBOUR LOR,NEWFOUNDLAND,52.25,-55.6
BATTLE HARBOUR MARYS R,NEWFOUNDLAND,52.32,-55.83
BATTLE HEADWATERS,ALBERTA,52.93,-114.2
BATTLE RIVER LO,ALBERTA,57.48,-117.65
BATTLEFORD,SASKATCHEWAN,52.68,-108.33
BATTLEFORDS UNION HOSPITAL SNOW,SASKATCHEWAN,52.77,-108.29
BAY D'ESPOIR 1,NEWFOUNDLAND,47.88,-55.83
BAY D'ESPOIR 2,NEWFOUNDLAND,47.98,-55.8
BAY D'ESPOIR GEN STN,NEWFOUNDLAND,47.98,-55.8
BAY D'ESPOIR LONG POND,NEWFOUNDLAND,47.98,-55.82
BAY D'ESPOIR ST ALBANS,NEWFOUNDLAND,47.97,-55.85
BAYNES LAKE KOOTENAY RIVER,BRITISH COLUMBIA,49.23,-115.22
BAYSWATER,NOVA SCOTIA,44.5,-64.08
BEACON HILL,SASKATCHEWAN,54.34,-109.63
BEAR CREEK,BRITISH COLUMBIA,48.5,-124
BEAR ISLAND,ONTARIO,46.98,-80.08
BEAR RIVER,NOVA SCOTIA,44.57,-65.63
BEAR TOWER,NORTHWEST TERRITORIES,60.52,-113.23
BEARBERRY,ALBERTA,51.9,-114.87
BEARDMORE,ONTARIO,49.62,-87.95
BEARSKIN LAKE,BRITISH COLUMBIA,58.22,-132.27
BEARTOOTH ISLAND,SASKATCHEWAN,59.22,-109.7
BEATRICE,ONTARIO,45.13,-79.38
